Indian rank,Name,Gender,Title,Standard_Rating,Rapid_rating,Blitz_rating
396,Arushi Kotwal,F,WCM,1854,1487,1439
397,Tanishka Kotia,F,WFM,1849,1608,1411
398,Bhagat Kush,M,CM,1848,1342,1458
399,Hilmi  Parveen,F,WFM,1809,1733,1788
400,Sharma Pankaj,M,CM,1785,1854,1890
401,Sankalp Baliarsingh,M,FM,1760,1817,1754
402,Greeshma Anand Dhumal,F,WFM,1749,1297,1151
403,Aparajita  Gochhikar,F,CM,1739,0,0
404,Swera Ana Braganca,F,WCM,1729,1403,1451
405,Chinnam Vyshnavi,F,WCM,1721,1457,1417
406,Khandelwal Khushi,F,WCM,1713,1575,1550
407,Wazeer Ahmad  Khan,M,IM,1686,0,0
408,Chaitanya  V.,F,WFM,1668,0,0
409,Samarth J Rao,M,CM,1664,1271,1514
410,Patel Riddhi R,F,WCM,1620,1377,1296
411,Riddhi Zantye,F,WCM,1615,1596,1622
412,Chopdekar Gunjal,F,WCM,1590,1499,1500
413,Bindu  Saritha K.,F,WFM,1580,0,0
414,Wankhade Sanskruti,F,WCM,1576,1301,1349
415,Fernandes Krystal,F,WCM,1542,1499,1504
416,Iyengar  Sharanya,F,WCM,1523,1496,0
417,Suhaani Lohia,F,WCM,1477,1123,1114
418,Prathivya Gupta,F,WCM,1439,0,0
419,Shreya Smruti Mohanty,F,WCM,1432,0,0
420,Kriti Mayur Patel,F,WCM,1394,1293,1212
421,Kiaan Agrawal,M,CM,1323,1290,1336
422,Shefali A N,F,WCM,1322,1118,1222
423,Shriyana S Mallya,F,WCM,1277,1104,1152
424,Vyas Arya Ajay,F,WCM,1201,1246,1288
